Projeto,ID_US,ID_TC,ID_STD_TC
RCP,#3392,HWLL-95:[TC] Validar paginação,19
RCP,#3392,HWLL-96:[TC] Validar nomenclatura das colunas listadas,16
RCP,#2379,HWLL-1:[TC] Validar redirecionamento para o login quando o usuário tenta navegar sem estar autenticado,13
RCP,#2379,HWLL-2:[SPEC] Validar se página é redirecionada ao colar link em outra aba do navegador,13
RCP,#2379,HWLL-3:[SPEC] Validar acesso de usuário Ativo e Inativo,24
RCP,#2379,HWLL-4:[SPEC] Validar campo Nome,25
RCP,#2379,HWLL-5:[SPEC] Validar campo Senha,25
SSPI,#2570-2,ENERSH-224:[TC] Editar tipo de problema deixando todos os campos de texto do formulário em branco,8
SSPI,#2570-2,ENERSH-225:[TC] Verificar duplicidade na edição de Máquinas,7
SSPI,#2570,ENERSH-226:[SPEC] Validar comportamento do campo Descrição,34
SSPI,#2570,ENERSH-227:[TC] Verificar presença do botão Cancelar,16
SSPI,#2570-2,ENERSH-228:[TC] Editar Máquina com sucesso,6
SSPI,#2570,ENERSH-229:[TC] Cancelar cadastro de Máquinas com sucesso,10
SSPI,#2570-4,ENERSH-230:[TC] Fechar tela de remoção antes de efetuar a ação de deletar,26
SSPI,#2570-4,ENERSH-231:[TC] Deletar Máquina com sucesso,12
SSPI,#2570-4,ENERSH-232:[TC] Cancelar a remoção de uma Máquina,27
SSPI,#2570-3,ENERSH-233:[Spec] Validar acesso a lista de Máquinas por perfis,20
SSPI,#2570-3,ENERSH-234:[TC] Paginar listagem de Máquinas ao atingir número máximo de linhas,19
SSPI,#2570,ENERSH-235:[TC] Verificar a presença do botão para criação de uma nova Máquina,16
SSPI,#2570-3,ENERSH-236:[TC] Verificar a presença de botões de edição para cada Máquina listada,16
SSPI,#2570-3,ENERSH-237:[TC] Verificar a presença de botões de exclusão para cada Máquina listada,16
SSPI,#2570-3,ENERSH-238:[TC] Tentar listar Máquina utilizando um usuário inativo,24
SSPI,#2570-3,ENERSH-239:[TC] Validar nomenclatura das colunas listadas,16
SSPI,#2570-3,ENERSH-240:[TC] Listar todas as Máquina com sucesso,15
SSPI,#2570-2,"ENERSH-241:[TC] Verificar presença do botão ""Cancelar""",16
SSPI,#2570-2,ENERSH-242:[SPEC] Validar comportamento do campo Descrição,34
SSPI,#2570,ENERSH-243:[SPEC] Validar controle de acesso para criação de nova Máquina,20
SSPI,#2570,ENERSH-244:[TC] Cadastrar Máquina com sucesso,1
SSPI,#2570,ENERSH-245:[TC] Verificar duplicidade no cadastro de um tipo de operação já registrado,3
SSPI,#2570,ENERSH-246:[TC] Cadastrar Máquina sem informar nenhum campo obrigatório,4
SSPI,#2570,ENERSH-247:[TC] Cancelar cadastro de Máquina com sucesso,2
SSPI,#2278,ENERSH-1:[TC] Validar redirecionamento a página de login em usuário não autenticado,13
SSPI,#2278,ENERSH-2:[SPEC] Validar se página é redirecionada ao colar link em outra aba do navegador,13
SSPI,#2278,ENERSH-3:[TC] Validar usuário sem preencher campo $Matricula,31
SSPI,#2278,ENERSH-4:[SPEC] Validar acesso de usuário Ativo e Inativo,33
SSPI,#2278,ENERSH-5:[SPEC] Validar campo $Matrícula,34
SSPI,#2278,ENERSH-6:[SPEC] Validar campo $Senha,34
SSPI,#2279,"ENERSH-82:[TC] Validar presença do botão ""Sair""",17
SSPI,#2279,ENERSH-7:[TC] Validar redirecionamento a página de login ao clicar no botão <Sair>,35
SSPI,#2279,ENERSH-8:[TC] Validar se sistema ainda ficará logado caso feche a sessão e abra novamente,36
SSPI,#2279,"ENERSH-9:[TC] Validar ação do clique no botão ""Sair"" na ausência de conexão com o servidor",37
SSPI,#2276,ENERSH-48:[TC] Cadastrar usuário com sucesso,1
SSPI,#2276,ENERSH-50:[TC] Cadastrar mais de um Administrador no sistema,38
SSPI,#2276,ENERSH-51:[TC] Cadastrar usuário informando senhas diferentes nos campos senha e confirmação,39
SSPI,#2276,ENERSH-53:[TC] Cadastrar usuário sem informar nenhum campo obrigatório,4
SSPI,#2276,ENERSH-55:[TC] Cadastrar Usuário deixando todos os campos do formulário sem preenchimento,4
SSPI,#2276,ENERSH-57:Verificar duplicidade de cadastro de Usuário,3
SSPI,#2276,ENERSH-58:[SPEC] Criar usuários utilizando diferentes perfis,5
SSPI,#2276,ENERSH-60:[TC] Cadastrar usuário sem registrar perfil,4
SSPI,#2275,ENERSH-32:[TC] Verificar ação do botão Excluir para um usuário listado e ativo,16
SSPI,#2275,ENERSH-31:[TC] Verificar ação do botão Adicionar para um usuário listado e ativo,16
SSPI,#2275,ENERSH-29:[TC] Verificar presença do botão Adicionar para um usuário listado e ativo,16
SSPI,#2275,ENERSH-28:[TC] Verificar presença do botão Excluir para um usuário listado e ativo,16
SSPI,#2275,ENERSH-22:[SPEC] Verificar acesso por Perfis,20
SSPI,#2275,ENERSH-23:[TC] Listar usuário inativo,15
SSPI,#2275,ENERSH-25:[TC] Verificar presença do botão Editar para um usuário listado e ativo,16
SSPI,#2275,ENERSH-30:[TC] Verificar ação do botão Editar para um usuário listado e ativo,16
SSPI,#2275,ENERSH-33:[TC] Validar ação de paginação,19
SSPI,#2275,ENERSH-34:[TC] Validar nomenclatura das colunas,16
SSPI,#2277,"ENERSH-81:[TC] Verificar layout do botão ""Editar"" para cada usuário cadastrado",16
SSPI,#2277,ENERSH-80:[TC] Cancelar edição de usuário com sucesso,10
SSPI,#2277,ENERSH-79:[TC] Tentar editar ID interno do usuário,7
SSPI,#2277,ENERSH-69:[SPEC] Editar informações do usuário com sucesso,6
SSPI,#2277,ENERSH-70:[TC] Verificar duplicidade de nome na edição de usuário,7
SSPI,#2277,ENERSH-71:[TC] Verificar duplicidade de matricula na edição de usuário,7
SSPI,#2277,ENERSH-72:[TC] Verificar duplicidade de perfil administrador na edição de usuário,38
SSPI,#2277,"ENERSH-73:[TC] Verificar presença do botão ""Cancelar""",16
SSPI,#2252,ENERSH-68:[TC] Validar acesso de usuário inativo,24
SSPI,#2252,ENERSH-66:[TC] Selecionar dois ou mais filtros para visualização das OPs,21
SSPI,#2252,ENERSH-65:[SPEC] Verificar filtro de visualização,21
SSPI,#2252,ENERSH-67:[SPEC] Verificar acesso por Perfis,20
SSPI,#2252,ENERSH-64:[TC] Fechar visualização da Ordens de Produção,
SSPI,#2252,ENERSH-63:[TC] Validar se todas as OPs disponíveis para planejamento são listadas,21
SSPI,#2252,ENERSH-62:[TC] Verificar presença do botão para expandir o sidebar de exibição das OPs,16
SSPI,#2589-2,ENERSH-90:[SPEC] Validar acesso a lista de tipos de problemas por perfis,20
SSPI,#2589-2,ENERSH-89:[TC] Paginar listagem de tipos de problemas ao atingir número máximo de linhas,19
SSPI,#2589-2,ENERSH-88:[TC] Verificar a presença do botão para criação de um novo tipo de problema,16
SSPI,#2589-2,ENERSH-87:[TC] Verificar a presença de botões de edição para cada tipo de problema listado,16
SSPI,#2589-2,ENERSH-86:[TC] Verificar a presença de botões de exclusão para cada tipo de problema listado,16
SSPI,#2589-2,ENERSH-85:[TC] Tentar listar Tipos de Problemas utilizando um usuário inativo,24
SSPI,#2589-2,ENERSH-83:[TC] Listar todos tipos de problemas com sucesso,15
SSPI,#2589-2,ENERSH-84:[TC] Validar nomenclatura das colunas listadas,16
SSPI,#2589-1,"ENERSH-98:[TC] Verificar presença do botão ""Cancelar""",16
SSPI,#2589-1,ENERSH-95:[SPEC] Validar controle de acesso para criação de novos tipos de problemas,20
SSPI,#2589-1,ENERSH-91:[TC] Cadastrar Tipos de Problemas com sucesso,1
SSPI,#2589-1,ENERSH-92:[TC] Verificar duplicidade no cadastro de um tipo de problema já registrado,3
SSPI,#2589-1,ENERSH-93:[TC] Cadastrar tipo de problema sem informar nenhum campo obrigatório,4
SSPI,#2589-1,ENERSH-97:[TC] Cancelar cadastro de Tipo de Problema com sucesso,2
SSPI,#2589-3,ENERSH-103:[TC] Editar tipo de problema deixando todos os campos de texto do formulário em branco,8
SSPI,#2589-3,ENERSH-108:[TC] Verificar duplicidade na edição do tipo de problema,7
SSPI,#2589-3,ENERSH-112:[TC] Verificar presença do botão Cancelar,16
SSPI,#2589-3,ENERSH-99:[TC] Editar Tipo do Problema com sucesso,6
SSPI,#2589-3,ENERSH-111:[TC] Cancelar edição de Tipo de Problema com sucesso,10
SSPI,#2589-4,ENERSH-124:[TC] Fechar tela de remoção antes de efetuar a ação de deletar,26
SSPI,#2589-4,ENERSH-123:[TC] Deletar tipo de problema com sucesso,12
SSPI,#2589-4,ENERSH-122:[TC] Cancelar a remoção de um tipo de problema,27
SSPI,#2598-3,ENERSH-212:[TC] Editar tipo de problema deixando todos os campos de texto do formulário em branco,8
SSPI,#2598-3,ENERSH-213:[TC] Verificar duplicidade na edição do tipo de problema,7
SSPI,#2598-3,ENERSH-215:[TC] Verificar presença do botão Cancelar,9
SSPI,#2598-3,ENERSH-216:[TC] Editar Tipo do Operação com sucesso,6
SSPI,#2598-3,ENERSH-217:[TC] Cancelar cadastro de Tipo de Operação com sucesso,10
SSPI,#2598-1,ENERSH-113:[Spec] Validar acesso a lista de tipos de operações por perfis,20
SSPI,#2598-1,ENERSH-114:[TC] Paginar listagem de tipos de operações ao atingir número máximo de linhas,19
SSPI,#2598-1,ENERSH-115:[TC] Verificar a presença do botão para criação de um novo tipo de operação,16
SSPI,#2598-1,ENERSH-116:[TC] Verificar a presença de botões de edição para cada tipo de operação listado,16
SSPI,#2598-1,ENERSH-117:[TC] Verificar a presença de botões de exclusão para cada tipo de operação listado,16
SSPI,#2598-1,ENERSH-118:[TC] Tentar listar Tipos de operações utilizando um usuário inativo,33
SSPI,#2598-1,ENERSH-119:[TC] Validar nomenclatura das colunas listadas,16
SSPI,#2598-1,ENERSH-120:[TC] Listar todos tipos de operações com sucesso,15
SSPI,#2598-2,"ENERSH-125:[TC] Verificar presença do botão ""Cancelar""",16
SSPI,#2598-2,ENERSH-127:[SPEC] Validar controle de acesso para criação de novos tipos de operações,20
SSPI,#2598-2,ENERSH-128:[TC] Cadastrar Tipos de operações com sucesso,1
SSPI,#2598-2,ENERSH-129:[TC] Verificar duplicidade no cadastro de um tipo de operação já registrado,3
SSPI,#2598-2,ENERSH-130:[TC] Cadastrar tipo de operação sem informar nenhum campo obrigatório,4
SSPI,#2598-2,ENERSH-131:[TC] Cancelar cadastro de Tipo de Operação com sucesso,2
SSPI,#2598-4,ENERSH-218:[TC] Fechar tela de remoção antes de efetuar a ação de deletar,26
SSPI,#2598-4,ENERSH-219:[TC] Deletar Tipo de Operação com sucesso,12
SSPI,#2598-4,ENERSH-220:[TC] Cancelar a remoção de um Tipo de Operação,27
VRE,#1804,Edit project with previously registered name,6
VRE,#1804,Login with known credentials,40
VRE,#1804,Create user with input validation,1
VRE,#1804,Associate organization with user,6
VRE,#1804,Edit user,6
VRE,#1804,Edit project with previously registered name,6
VRE,#1804,Ações do botão Voltar na tela de Histórico de Check-in (Administrador),34
VRE,#1804,Teste estático de arquivo de tradução (plataforma Android),41
VRE,#1806,Cancel deleting project,27
VRE,#1806,Filter project,21
VRE,#1806,Create organization with input validation,1
VRE,#1806,Cancel project variable creation,2
VRE,#1806,Cancel editing project variable,10
VRE,#1806,Ocultar e exibir colunas do formulário de Configuração de Rotas,16
VRE,#1806,Retirada do cartão SD durante execução do programa,
VRE,#1806,Validar ações do Administrador com GaMMa inoperante,20
VRE,#1806,Validar ações do Convidado com GaMMa inoperante,20
VRE,#1806,Cancel deleting organization,27
VRE,#1809,Edit user password with input validation,6
VRE,#1809,Cancel deleting project,27
VRE,#1809,Filter user with input validation,21
VRE,#1809,Edit organization with previously registered name,7
VRE,#1809,Filter organization,21
VRE,#1809,Edição de evento global considerando a opção de publicação para convidados e recepcionistas,
VRE,#1809,Edição de evento global considerando a opção de publicação para convidados e recepcionistas,
VRE,#1809,Edição de evento global considerando a opção de publicação para convidados e recepcionistas,
VRE,#1809,Exploratory Test: Functional for Events,
VRE,#1809,Exploratory Test: Functional for Events,
VRE,#1809,Exploratory Test: Fault Tolerance for Video Call (Remote),
VRE,#1809,Exploratory Test: Fault Tolerance for Video Call (Remote),
VRE,#1815,Filter project,21
VRE,#1815,Cancel disassociating organization from user through list actions,10
VRE,#1815,Create project with previously registered name,1
VRE,#1817,Clear all filters (filter project),21
VRE,#1817,Search organization with input validation,21
VRE,#1818,Filter project,21
VRE,#1818,Clear all filters (filter organization),
VRE,#1818,Clear all filters (filter organization),
VRE,#1818,Exploratory Test: Fault Tolerance for Diagnostics,
VRE,#1818,Exploratory Test: Fault Tolerance for Diagnostics,
VRE,#1818,Exploratory Test: Functional for Settings,
VRE,#1818,Exploratory Test: Functional for Settings,
Event Driven System for Business Services Integration,#242-3,"Editar usuário com campo ""E-mail"" vazio.",8
Event Driven System for Business Services Integration,#243,"Marcar convidados listados na pesquisa como ""convite enviado"" ""Event Driven System for Business Services Integration",21
Event Driven System for Business Services Integration,#282,Fechamento do programa antes da execução ser finalizada.,36
Event Driven System for Business Services Integration,#282,Limite de caracteres para o filtro Route_Desc,16
Event Driven System for Business Services Integration,#282,Exibição de filtros aplicados no arquivo exportado,16
Event Driven System for Business Services Integration,#273,Cancel disassociating user from organization through association list,10
Event Driven System for Business Services Integration,#273,Disassociate organization from user through association list,6
Event Driven System for Business Services Integration,#273,Create and View Project,1
Event Driven System for Business Services Integration,#273,Edit user,6
Event Driven System for Business Services Integration,#274,US11590 - Verificar informações exibidas na lista de pessoas,21
Event Driven System for Business Services Integration,#274,US11589 - Verificar as organizações exibidas,21
Event Driven System for Business Services Integration,#282,Limite de caracteres para os filtros,16
Event Driven System for Business Services Integration,#275,Cancel date picking for monthly and annual charts,10
Event Driven System for Business Services Integration,#275,Ocultar e exibir todas as colunas do formulário,16
Event Driven System for Business Services Integration,#292,US11516 - Verificar o tamanho máximo da foto,
Event Driven System for Business Services Integration,#291,US11516 - Verificar o tamanho máximo da foto,
Event Driven System for Business Services Integration,#253-1,Deselecionar convidados filtrados por status,16
Event Driven System for Business Services Integration,#253-2,"Criar ""Outros Links"" com nome já adicionado em outro link no mesmo evento específico.",3
Event Driven System for Business Services Integration,#253-3,Validar apresentação de detalhes no card de um app tipo Aplicativo sem versão.,16
Event Driven System for Business Services Integration,#253-1,Pesquisar administrador por nome.,17
Event Driven System for Business Services Integration,#253-3,Validar apresentação de detalhes no card de um app tipo Game sem versão,16
Event Driven System for Business Services Integration,#253-2,"Validações de campos durante a criação de ""Outros Links"" evento específico",34
Event Driven System for Business Services Integration,#253-4,Remover categoria adicionada na criação de evento,12
Event Driven System for Business Services Integration,#253-1,Filtrar convidados por dados profissionais,21
Event Driven System for Business Services Integration,#257,Cadastrar um plano de teste,1
Event Driven System for Business Services Integration,#257,Associar suítes ao plano de teste com alguns casos de testes iguais,6
Event Driven System for Business Services Integration,#264,Remover Configuração de Insumo com sucesso,12
Event Driven System for Business Services Integration,#264,Gráfico de Pessoas,
Event Driven System for Business Services Integration,#267,"Action the of ""Close"" button in all screens to Device SetUp",
Event Driven System for Business Services Integration,#268,Exibir Clientes Ativos,15
Event Driven System for Business Services Integration,#268,Gráfico de detalhe de Região,
Event Driven System for Business Services Integration,#263,Limite de caracteres para peso da Cola,34
Event Driven System for Business Services Integration,#263,Finalizar uso de Cola na Máquina de Cola com peso inválido,
Event Driven System for Business Services Integration,#263,"Validação da seção ""Participação em Eventos"" ""Event Driven System for Business Services Integration",
Event Driven System for Business Services Integration,#328,Reprodução e compartilhamento de áudio sem conexão com Internet,
Event Driven System for Business Services Integration,#328,Ações do menu quando sistema administrativo está indisponível durante transmissão de streaming,
Event Driven System for Business Services Integration,#328,Realizar Descarte de Pasta de Solda com sucesso através de QR Code do Engenheiro,
Event Driven System for Business Services Integration,#328,Verificar alteração do cliente ao realizar novo check-in,
Event Driven System for Business Services Integration,#328,Remover microfone do receptor durante transmissão [Desktop],
Event Driven System for Business Services Integration,#328,Explorar exibição de toasts de erro e modificações,42
Event Driven System for Business Services Integration,#328,Finalizar uso de Pasta de Solda na Máquina de Pasta de Solda com peso inválido,
Event Driven System for Business Services Integration,#328,Exportar tabela de Pasta de Solda,
Event Driven System for Business Services Integration,#328,Validar Log de Cola descartada,
Event Driven System for Business Services Integration,#328,Tempo de áudio após remoção de microfone,
Event Driven System for Business Services Integration,#253,Save and Continue for Critical Task - no critical files uploaded,
Event Driven System for Business Services Integration,#242,"Action of the ""top of page"" button on the ""Cover timeline"" screen",
Event Driven System for Business Services Integration,#242,"Scrolling action on the timeline on the ""Cover Timeline"" screen",
Event Driven System for Business Services Integration,#243,Filtrar auditoria por (Usuário) como Administrador de dispositivo no MDM Web,21
Event Driven System for Business Services Integration,#243,Verificar que ações realizadas por Super Usuário não são exibidas para Administrador de dispositivo no MDM Web,
Event Driven System for Business Services Integration,#243,Access a Skype meeting successfully.,
Event Driven System for Business Services Integration,#242-3,"Validate reset function in the field""Reset All Counters"" in device ""Transponder"" ""Event Driven System for Business Services Integration",6
Event Driven System for Business Services Integration,#3908,Limite de caracteres para os filtros,34
Event Driven System for Business Services Integration,#3908,Persistência das colunas ocultas de Rotas na sessão do navegador,
Event Driven System for Business Services Integration,#3908,Fechamento do programa antes da execução ser finalizada.,
Event Driven System for Business Services Integration,#3908,Reconfigurar Rede Ethernet após erros,
Event Driven System for Business Services Integration,#3908,Limite de caracteres para o filtro Route_Desc,34
Event Driven System for Business Services Integration,#3908,Exibição de filtros aplicados no arquivo exportado,21
Event Driven System for Business Services Integration,#260,Limite de caracteres para peso da Cola,34
Event Driven System for Business Services Integration,#260,Finalizar uso de Cola na Máquina de Cola com peso inválido,
Event Driven System for Business Services Integration,#260,"Validação da seção ""Participação em Eventos"" ""Event Driven System for Business Services Integration",
Event Driven System for Business Services Integration,#265,"Action the of ""Close"" button in all screens to Device SetUp",
Event Driven System for Business Services Integration,#266,Exibir Clientes Ativos,15
Event Driven System for Business Services Integration,#266,Gráfico de detalhe de Região,
Event Driven System for Business Services Integration,#282,Persistência das colunas ocultas de Rotas na sessão do navegador,
Event Driven System for Business Services Integration,#263,Imprimir intervalo completo de etiquetas com sucesso,
Event Driven System for Business Services Integration,#255,Exportar tabela de Pasta de Solda,
Event Driven System for Business Services Integration,#260,Imprimir intervalo completo de etiquetas com sucesso,
Game Marketing Manager,#997,Menu dashboard da aplicação (Garantir que as opções do menu dashboard estão sendo exibidas e que é possível clicar em cada opção e acessar sua página específica.),20
Game Marketing Manager,#997,Apresentação do menu principal,20
Game Marketing Manager,#997,Dashboard - Inspeção de compatibilidade,20
Game Marketing Manager,#997-1,"Validações do campo ""Name"" no form Edit Group",34
Game Marketing Manager,#997-2,Inspeção de usabilidade das ações do botão Fab nas telas de listagem de Configurações,16
Game Marketing Manager,#997-3,Inspeção de usabilidade das ações do botão Fab nas telas de listagem de Evento,16
Game Marketing Manager,#997-4,Permissões de usuários para Apps,20
Game Marketing Manager,#997-5,Permissões de usuários para Itens de Publicidade,20
Game Marketing Manager,#997-6,Permissões de usuários para Campanhas,20
Game Marketing Manager,#997-7,Permissões de usuários para Listagem de participantes,20
Game Marketing Manager,#997-8,Permissões de usuários para Jogadores,20
Game Marketing Manager,#997-9,Permissões de usuários para Push,20
Game Marketing Manager,#997-10,Permissões de usuários para Regiões,20
Game Marketing Manager,#997-11,Permissões de usuários para Grupos,20
Game Marketing Manager,#997-12,Permissões de usuários para Configurações,20
Game Marketing Manager,#997-13,Permissões de usuário para Usuários,20
Game Marketing Manager,#1006,"Add Server's datetime and API version to services' header (Validações do campo ""Name"" no form Edit Group)",34
Game Marketing Manager,#1028,Cadastrar eventos com sucesso,1
Game Marketing Manager,#1028,Cancelar cadastro de eventos com sucesso,2
Game Marketing Manager,#1028,Cadastrar eventos sem campos obrigatórios preenchidos,4
Game Marketing Manager,#1028,Verificar presença de campos na tela de inserção,16
Game Marketing Manager,#1028,Verificar comportamento máximo de 50 caracteres do campo nome,34
TVD II,#1611,TVD-18:[TC] Cadastrar usuário com sucesso,1
TVD II,#1611,TVD-44:[SPEC] Validar comportamento do campo Confirmar Senha,34
TVD II,#1611,TVD-42:[SPEC] Validar comportamento do campo Telefone,34
TVD II,#1611,TVD-20:[TC] Cancelar cadastro de usuário com sucesso,2
TVD II,#1611,TVD-24:[TC] Cadastrar usuário sem informar nenhum campo obrigatório,4
TVD II,#1611,TVD-29:[SPEC] Verificar duplicidade no cadastro de usuário,3
TVD II,#1611,TVD-32:[SPEC] Criar usuários utilizando diferentes perfis,5
TVD II,#1611,TVD-35:[SPEC] Validar comportamento do campo Nome,34
TVD II,#1611,TVD-37:[SPEC] Validar comportamento do campo Email,34
TVD II,#1611,TVD-38:[SPEC] Validar comportamento do campo Senha,25
TVD II,#1611,TVD-40:[SPEC] Validar comportamento do campo Perfil,34
TVD II,#1610,TVD-57:[TC] Fechar tela de inativação antes de efetuar a ação de desabilitar,26
TVD II,#1610,TVD-56:[TC] Cancelar a inativação de um usuário,10
TVD II,#1610,TVD-55:[TC] Inativar usuário com sucesso,9
TVD II,#1610-2,TVD-15:[TC] Verificar a presença do botão para criação de um novo usuário,16
TVD II,#1610-2,TVD-14:[TC] Verificar a presença de botões de inativação para cada usuário listado,16
TVD II,#1610-2,TVD-2:[TC] Validar nomenclatura das colunas listadas,16
TVD II,#1610-2,TVD-7:[TC] Listar todos os usuários com sucesso,15
TVD II,#1610-2,TVD-12:[TC] Tentar listar usuários utilizando um usuário inativo,24
TVD II,#1610-2,TVD-8:[SPEC] Validar acesso a lista de usuários por perfis,20
TVD II,#1610-2,TVD-13:[TC] Verificar a presença de botões de edição para cada usuário listado,16
TVD II,#1610-2,TVD-16:[TC] Paginar listagem de usuários ao atingir número máximo de linhas,19
TVD II,#1610-3,TVD-52:[SPEC] Validar comportamento do campo Telefone,34
TVD II,#1610-3,TVD-51:[SPEC] Validar comportamento do campo Nome,34
TVD II,#1610-3,TVD-50:[SPEC] Validar comportamento do campo Email,34
TVD II,#1610-3,TVD-46:[SPEC] Editar informações do usuário com sucesso,6
TVD II,#1610-3,TVD-47:[SPEC] Verificar duplicidade na edição de usuário,7
